id,date,shift,machine,start_hour,stop_time,stops,hits
1,viernes 15/02/2019,3,Schlatter 4,23:14:51,07:36:01,252,990
2,viernes 15/02/2019,3,Schlatter 5,23:12:19,07:21:29,288,1827
3,viernes 15/02/2019,3,Jager,23:22:12,05:38:42,113,7861
4,viernes 15/02/2019,3,Schlatter 1,00:26:20,06:39:31,177,4711
5,sábado 16/02/2019,1,Schlatter 5,09:45:18,05:29:37,9,9
6,lunes 18/02/2019,1,Schlatter 4,07:49:08,07:53:59,835,3957
7,lunes 18/02/2019,1,Schlatter 5,08:20:52,08:32:53,361,2485
8,lunes 18/02/2019,1,Schlatter 7,14:47:15,09:26:33,38,91
9,lunes 18/02/2019,1,Jager,07:45:11,06:05:45,115,11470
10,lunes 18/02/2019,1,Schlatter 1,07:44:46,04:28:57,373,19015
11,lunes 18/02/2019,1,MG320,12:59:41,07:03:11,109,12746
12,lunes 18/02/2019,3,Schlatter 4,23:28:59,08:02:31,377,998
13,lunes 18/02/2019,3,Schlatter 5,23:29:15,07:35:31,240,2133
14,lunes 18/02/2019,3,Jager,23:42:55,08:04:43,77,1265
15,lunes 18/02/2019,3,Schlatter 1,23:29:31,04:31:08,235,15259
16,lunes 18/02/2019,3,MG320,23:12:37,02:46:33,151,30436
17,martes 19/02/2019,1,Schlatter 4,07:55:29,09:30:22,321,1258
18,martes 19/02/2019,1,Schlatter 5,07:44:47,08:18:47,376,4208
19,martes 19/02/2019,1,Schlatter 7,11:54:02,09:42:51,133,453
20,martes 19/02/2019,1,Jager,07:43:26,09:29:29,155,1479
21,martes 19/02/2019,1,Schlatter 1,07:40:57,03:58:03,355,22839
22,martes 19/02/2019,1,MG320,07:40:46,03:15:38,250,35557
23,martes 19/02/2019,3,Schlatter 4,23:17:02,06:50:51,630,4558
24,martes 19/02/2019,3,Schlatter 5,23:12:02,06:35:11,254,3825
25,martes 19/02/2019,3,Schlatter 7,23:16:00,07:16:23,220,1711
26,martes 19/02/2019,3,Jager,23:20:08,06:41:51,138,5869
27,martes 19/02/2019,3,Schlatter 1,23:10:35,04:05:13,197,16994
28,martes 19/02/2019,3,MG320,23:16:45,04:28:04,95,21424
29,miércoles 20/02/2019,3,Schlatter 4,23:21:43,07:31:36,598,2485
30,miércoles 20/02/2019,3,Schlatter 5,23:09:09,05:04:44,410,13433
31,miércoles 20/02/2019,3,Schlatter 7,23:10:57,08:28:01,24,24
32,miércoles 20/02/2019,3,Jager,23:16:28,04:50:45,133,12239
33,miércoles 20/02/2019,3,Schlatter 1,23:19:33,04:06:53,235,17296
34,miércoles 20/02/2019,3,MG320,23:10:40,03:21:33,160,27012
35,miércoles 20/02/2019,3,PG12,00:56:50,08:11:45,203,639
36,jueves 21/02/2019,1,Schlatter 4,08:06:55,08:43:16,613,1802
37,jueves 21/02/2019,1,Schlatter 5,07:48:07,06:08:57,499,13727
38,jueves 21/02/2019,1,Jager,07:42:43,06:01:36,124,11643
39,jueves 21/02/2019,1,Schlatter 1,07:43:32,03:27:10,288,22783
40,jueves 21/02/2019,1,MG320,07:43:19,02:26:10,157,37605
41,jueves 21/02/2019,1,PG12,07:47:36,08:49:07,501,1350
42,jueves 21/02/2019,3,Schlatter 4,23:15:35,08:21:25,121,286
43,jueves 21/02/2019,3,Schlatter 5,23:14:55,04:21:39,443,16536
44,jueves 21/02/2019,3,Jager,23:10:39,07:11:12,114,4229
45,jueves 21/02/2019,3,Schlatter 1,23:10:45,04:00:11,283,17160
46,jueves 21/02/2019,3,MG320,23:11:31,02:29:11,160,31912
47,jueves 21/02/2019,3,PG12,02:30:52,08:28:55,2,2
